Position,Red,Green,Blue,Lux,Temperature
29,139.90,56.67,54.90,2,2886
29,161.75,45.67,45.67,-7,2454
29,173.40,40.80,44.20,-7,2362
29,160.12,47.44,47.44,-1,2519
29,148.06,57.58,57.58,0,2959
30,115.42,69.79,64.42,9,3517
30,134.45,60.27,58.73,5,3055
30,169.06,42.27,43.67,-14,2367
30,172.05,39.94,43.01,-7,2343
30,148.75,53.13,53.13,0,2751
30,120.00,67.50,60.00,2,3534
31,103.38,75.81,62.03,17,3677
31,95.73,76.59,72.24,43,4231
31,135.07,58.22,53.56,7,2901
31,126.45,61.12,56.90,6,3105
31,105.00,71.25,63.75,8,3704
31,98.08,78.46,68.65,3,3815
32,127.50,0.00,127.50,-1,5201
32,151.18,52.82,43.71,1,2492
32,171.59,42.10,40.51,-25,2294
32,146.12,54.44,48.71,0,2661
32,170.00,34.00,51.00,-2,2534
32,204.00,51.00,51.00,0,2343
33,144.34,57.74,57.74,0,2915
33,141.16,54.64,54.64,0,2865
33,146.39,56.67,51.94,0,2742
33,149.67,49.89,49.89,-1,2661
33,153.00,51.00,51.00,-1,2594
33,162.27,46.36,57.95,-1,2751
34,131.61,61.69,61.69,2,3176
34,136.48,57.46,53.87,1,2894
34,142.50,56.25,52.50,1,2794
34,151.11,51.94,51.94,-1,2700
34,157.50,52.50,52.50,0,2661
34,159.38,53.13,53.13,0,2661
35,124.14,63.75,63.75,4,3347
35,136.89,59.05,56.37,3,2991
35,141.36,55.43,52.66,1,2810
35,151.41,51.80,51.80,-1,2694
35,156.92,52.31,52.31,-1,2661
35,149.48,52.76,52.76,0,2735
36,116.41,66.52,66.52,6,3568
36,132.37,60.34,58.40,4,3071
36,138.54,56.22,54.21,2,2881
36,153.65,49.04,52.31,-3,2688
36,148.75,53.13,53.13,0,2751
36,142.50,60.00,60.00,0,2995
37,103.59,71.72,71.72,13,4028
37,112.50,70.50,66.00,17,3596
37,136.66,57.76,54.94,4,2922
37,153.50,49.51,51.99,-3,2681
37,143.44,55.78,59.77,0,2978
37,116.41,66.52,66.52,3,3568
38,89.70,78.17,75.60,31,4602
38,98.59,75.84,72.99,36,4211
38,134.21,56.78,56.78,4,3002
38,149.31,50.33,53.68,-4,2760
38,115.16,65.81,65.81,6,3568
38,102.89,76.05,71.58,7,4161
39,94.55,83.09,63.03,18,3931
39,78.98,82.99,78.98,69,5201
39,149.63,47.42,49.52,-9,2652
39,160.60,44.13,45.36,-12,2467
39,110.50,68.00,63.75,5,3589
39,104.32,69.55,69.55,2,3931
40,0.00,0.00,0.00,0,0
40,36.43,72.86,72.86,1,9011
40,85.00,85.00,72.86,4,4656
40,232.58,11.21,19.62,-25,1669
40,255.00,0.00,0.00,0,1391
40,0.00,0.00,0.00,0,0
41,150.00,50.00,55.00,-2,2788
41,144.34,52.92,52.92,0,2788
41,147.90,51.00,51.00,0,2704
41,149.27,49.76,49.76,-1,2661
41,154.82,45.54,54.64,-2,2661
41,157.86,48.57,60.71,-1,2856
42,142.13,54.34,58.52,-1,2915
42,150.85,50.28,50.28,-1,2661
42,155.22,48.04,48.04,-2,2570
42,165.28,47.22,47.22,-2,2479
42,167.57,43.71,51.00,-3,2550
42,163.20,51.00,51.00,0,2581
43,136.23,55.89,59.38,0,3051
43,148.06,52.10,49.35,0,2661
